Player,Weight (kg),Height (cm),Birthday,Year Turned Pro,Right-Left-Handed,Two-One-Backhanded,Matches,Wins,Losses,Winning Ratio,Ace (%),Double Fault (%),1st Serve In (%),1st Serve Win (%),2nd Serve Win (%),Total Points Win (%),Return Points Win (%),Dominant Rate
Evgeny Karlovskiy,86.0,191.0,1994-08-07,2012,1,1,583,317,266,0.5437392795883362,8.22668918918919,5.159121621621622,65.41959459459463,70.49527027027034,46.59527027027024,50.078716216216215,38.33885135135133,1.135574324324326
Oscar Otte,79.0,193.0,1993-07-16,2011,1,1,577,346,231,0.5996533795493935,10.580821917808228,5.67123287671233,58.420547945205456,75.29232876712337,49.42356164383561,51.77643835616438,39.259452054794494,1.2329863013698625
Tomas Lipovsek Puches,75.0,183.0,1993-04-17,,1,1,579,319,260,0.5509499136442142,2.828346456692914,5.287401574803149,62.589763779527544,60.773228346456705,43.87637795275592,47.574803149606296,40.979527559055114,0.9947244094488193
Quentin Halys,85.0,191.0,1996-10-26,2012,1,1,582,328,254,0.563573883161512,12.718426966292137,7.151235955056186,59.102696629213526,77.02853932584266,47.872134831460684,51.01797752808986,37.20741573033708,1.1600674157303368
Peter Heller,76.0,185.0,1992-08-12,,1,1,588,370,218,0.6292517006802721,3.591836734693878,3.0897959183673476,55.4469387755102,66.74489795918365,49.01428571428571,48.02857142857143,36.175510204081625,0.9161224489795918
Vishnu Vardhan,84.0,188.0,1987-07-27,2008,1,1,569,333,236,0.5852372583479789,12.318095238095232,4.767619047619049,61.58571428571429,74.10190476190479,47.353333333333346,48.464761904761914,32.62380952380953,1.0296190476190474
Tomas Berdych,91.0,196.0,1985-09-17,2002,1,1,1125,742,383,0.6595555555555556,10.309860664523045,3.176848874598069,58.06184351554127,77.25819935691315,53.57063236870313,52.74941050375134,38.61296891747051,1.325659163987138
Andrey Rublev,75.0,188.0,1997-10-20,2014,1,1,578,370,208,0.6401384083044983,8.584381338742388,3.647667342799192,59.860243407707884,74.91277890466529,50.81906693711963,51.683164300202854,38.81115618661256,1.1926774847870176
Mikhail Youzhny,73.0,183.0,1982-06-25,1999,1,0,1112,631,481,0.5674460431654677,5.175284384694931,3.3290589451913144,60.6910031023785,70.19544984488111,52.14105480868666,50.93739669421487,38.95371900826444,1.1524070247933873
Francesco Vilardo,70.0,178.0,1989-12-28,,1,0,557,253,304,0.4542190305206463,3.7809523809523804,3.326190476190477,59.854761904761894,67.44761904761904,50.459523809523816,50.12619047619047,39.266666666666666,1.2492857142857143
Fabrice Santoro,74.0,178.0,1972-12-09,1989,1,1,1113,605,508,0.5435759209344115,3.95841232227489,3.021800947867297,57.43293838862558,67.16635071090052,51.199999999999996,50.0694312796209,39.82606635071094,1.0785663507108993
Yoshihito Nishioka,64.0,170.0,1995-09-27,2014,0,1,572,354,218,0.6188811188811189,2.6200863930885534,2.2991360691144713,64.03974082073434,65.92526997840172,53.65421166306691,50.49870410367174,39.87429805615548,1.137537796976241
Carlos Berlocq,81.0,183.0,1983-02-03,2001,1,0,1100,648,452,0.5890909090909091,4.0450636942675136,3.1090764331210163,64.90095541401278,67.92579617834407,51.225677830940946,51.688535031847174,41.66369426751587,1.2405891719745217
Darian King,77.0,188.0,1992-04-26,2010,1,1,562,349,213,0.6209964412811388,2.8359832635983255,3.247280334728033,65.49916317991634,63.4217573221757,50.67447698744774,49.64686192468619,40.45481171548116,1.0805439330543927
Jack Sock,88.0,191.0,1992-09-24,2011,1,1,556,317,239,0.5701438848920863,8.388282828282836,5.204444444444443,58.37171717171718,74.18626262626262,52.90748987854251,50.61411290322582,35.811088709677435,1.1165725806451616
Nikola Milojevic,76.0,188.0,1995-06-19,2013,1,1,557,337,220,0.6050269299820467,5.28281690140845,5.6025352112676,58.50225352112676,69.50788732394366,48.42760563380283,50.47549295774647,40.42929577464787,1.152760563380282
Pedro Martinez,76.0,185.0,1997-04-26,2016,1,1,544,329,215,0.6047794117647058,2.785625,5.020312500000001,64.699375,66.26812500000001,49.43918495297804,50.67406250000001,41.104062499999955,1.1453124999999997
Pedja Krstin,80.0,183.0,1994-09-03,2012,1,1,549,293,256,0.5336976320582878,4.911180124223603,6.047204968944098,57.27981366459628,67.78975155279501,46.541304347826014,48.31490683229812,37.29285714285712,0.9973602484472059
Laslo Djere,82.0,188.0,1995-06-02,2013,1,1,562,328,234,0.5836298932384342,5.663636363636361,4.971464646464648,59.519444444444424,69.0835858585859,49.47272727272733,49.691919191919204,38.30505050505048,1.052222222222223
Elias Ymer,78.0,185.0,1996-04-10,2014,1,1,563,313,250,0.5559502664298401,5.478297872340427,4.151914893617022,59.27255319148936,69.54872340425534,49.60553191489356,50.60234042553192,39.758085106382985,1.0977446808510638
Stefanos Tsitsipas,90.0,193.0,1998-08-12,2016,1,0,572,385,187,0.6730769230769231,9.12271714922049,2.8427616926503347,61.71314031180397,76.69042316258354,55.05033407572384,52.50155902004455,36.77795100222717,1.2696436525612467
Bernabe Zapata Miralles,79.0,183.0,1997-01-12,2015,1,1,560,313,247,0.5589285714285714,3.135843373493978,2.9506024096385524,64.60210843373488,64.77921686746993,50.46355421686747,50.72620481927707,41.387951807228895,1.1138253012048192
Filip Peliwo,76.0,180.0,1994-01-30,2013,1,1,578,327,251,0.5657439446366782,5.135616438356162,5.513698630136983,56.05707762557078,66.36438356164382,46.24566210045662,48.24292237442919,38.928310502283104,1.009543378995434
Carlos Boluda Purkiss,69.0,173.0,1993-01-22,,1,1,541,301,240,0.55637707948244,1.6686274509803922,3.55686274509804,63.182352941176504,62.3509803921569,49.0156862745098,48.519607843137244,39.517647058823535,0.9998039215686273
Filippo Volandri,73.0,183.0,1981-09-05,1997,1,0,1075,604,471,0.5618604651162791,0.9307359307359305,3.016017316017318,70.15512265512265,62.32496392496395,50.32842712842709,50.764935064935095,42.94574314574313,1.1354834054834042
Gonzalo Lama,82.0,180.0,1993-04-27,2011,1,1,565,325,240,0.5752212389380531,3.3672064777327937,3.559109311740892,62.74129554655867,65.24615384615382,50.71422764227637,48.566801619433214,37.19999999999998,1.0051417004048584
Benjamin Bonzi,82.0,183.0,1996-06-09,2015,1,1,551,336,215,0.6098003629764065,7.101384083044982,3.0913494809688555,60.72456747404842,71.56470588235294,52.578892733564025,51.39377162629761,38.82941176470586,1.1761245674740475
Alex Bolt,84.0,183.0,1993-01-05,2011,0,1,540,305,235,0.5648148148148148,9.575077881619928,3.627725856697819,61.1171339563863,72.87788161993768,52.25919003115264,49.97320872274142,34.84080996884736,1.079252336448598
Zdenek Kolar,79.0,183.0,1996-10-09,2014,1,1,548,303,245,0.5529197080291971,4.812222222222226,3.793055555555554,61.285000000000025,67.37916666666669,49.61222222222221,50.28249999999999,40.20944444444442,1.1032499999999996
Albert Montanes,70.0,175.0,1980-11-26,1999,1,0,1060,578,482,0.5452830188679245,4.619298245614037,4.583625730994157,60.01652046783626,68.88260233918125,49.85021961932649,49.6722222222222,38.07423133235721,1.0713888888888894
Karen Khachanov,87.0,198.0,1996-05-21,2013,1,1,548,323,225,0.5894160583941606,9.537093275488074,3.424728850325382,60.95661605206072,73.84533622559647,51.70954446854667,50.9941431670282,37.097396963123614,1.1557266811279834
Hugo Grenier,85.0,196.0,1996-03-23,2013,1,1,550,319,231,0.58,8.068727272727275,4.550909090909089,63.17381818181819,71.02109090909096,47.83454545454544,50.47963636363638,38.913454545454556,1.137090909090909
Daniel Masur,78.0,183.0,1994-11-06,2013,1,1,539,299,240,0.5547309833024119,7.179154078549848,4.686706948640481,64.1202416918429,71.17250755287007,48.41419939577038,50.45891238670694,37.94954682779459,1.1122960725075524
Luke Saville,83.0,188.0,1994-01-02,2012,1,1,545,295,250,0.5412844036697247,6.711249999999994,5.681249999999994,59.15687499999997,69.99156249999999,49.55999999999996,49.51499999999995,37.32718749999999,1.0716250000000003
Marcel Granollers,80.0,191.0,1986-04-12,2003,1,1,1063,601,462,0.5653809971777987,5.697356143079318,3.1121306376360773,61.96874027993779,69.64136858475906,51.099999999999945,50.486780715396534,38.86796267496107,1.1735614307931566
Cristian Garin,85.0,185.0,1996-05-30,2011,1,1,538,312,226,0.5799256505576208,5.231249999999997,4.332999999999998,59.541000000000004,68.70750000000004,49.291499999999985,49.880999999999986,39.01749999999998,1.0930249999999995
Jan Mertl,84.0,191.0,1982-01-03,2002,1,1,1058,599,459,0.5661625708884688,9.97254901960784,4.254117647058825,60.67019607843137,72.88627450980395,49.99058823529409,49.79607843137257,35.9878431372549,1.0687450980392155
Maxime Janvier,85.0,196.0,1996-10-18,2014,1,1,548,279,269,0.5091240875912408,6.441860465116283,4.489405684754519,60.00697674418602,71.35932642487046,50.13255813953485,49.83074935400516,36.919121447028395,1.0761240310077507
Yannick Maden,70.0,185.0,1989-10-28,2013,1,1,524,308,216,0.5877862595419847,3.5501766784452298,2.8636042402826862,61.73427561837463,66.68904593639577,51.07208480565372,50.793286219081224,41.00106007067134,1.128480565371024
Nicolas Jarry,90.0,198.0,1995-10-11,2014,1,1,545,327,218,0.6,10.989756097560988,3.671951219512195,62.871951219512184,75.12390243902429,54.12975609756097,51.57853658536581,36.16487804878049,1.229536585365853
Lucas Pouille,84.0,185.0,1994-02-23,2012,1,1,530,304,226,0.5735849056603773,7.94236902050114,4.459681093394079,56.39658314350801,72.34851936218679,51.83667425968107,50.303189066059204,36.941457858769965,1.0826423690205018
Dominik Hrbaty,80.0,180.0,1978-01-04,1996,1,1,1051,593,458,0.5642245480494766,6.604255319148942,5.365197568389062,56.629635258358675,71.55957446808509,50.03039513677814,50.71762917933128,39.44452887537991,1.1200911854103344
Mats Moraing,84.0,198.0,1992-06-20,2013,0,1,530,307,223,0.5792452830188679,14.031785714285713,6.386071428571423,56.41999999999997,76.2864285714286,48.00642857142856,50.09107142857141,36.56785714285714,1.1401071428571434
Viktor Galovic,88.0,193.0,1990-09-19,2011,1,1,521,265,256,0.508637236084453,8.33941605839416,3.4594890510948915,63.47846715328467,71.45474452554744,49.55145985401461,49.89671532846715,35.66240875912407,1.0561678832116794
Nino Serdarusic,85.0,191.0,1996-12-13,2014,1,1,536,293,243,0.5466417910447762,7.48875502008032,3.6983935742971905,59.489156626506045,70.82168674698794,49.37911646586344,49.467469879518084,36.565461847389535,1.0554216867469877
Daniel Elahi Galan,72.0,191.0,1996-06-18,2015,1,1,529,298,231,0.5633270321361059,6.576213592233006,2.397087378640777,62.26771844660193,69.89029126213599,52.070873786407766,50.89563106796118,38.47305825242719,1.1516504854368936
Carlos Gomez Herrera,85.0,191.0,1990-04-30,,1,1,521,283,238,0.5431861804222649,3.3881656804733717,3.9627218934911244,64.51301775147927,67.56804733727812,48.917159763313634,50.01834319526624,39.05976331360947,1.0557988165680474
Alexandre Muller,75.0,183.0,1997-02-01,2014,1,1,532,309,223,0.5808270676691729,3.7303571428571423,3.4421428571428585,66.70642857142863,65.26321428571428,48.789642857142866,50.081428571428596,40.06964285714283,1.07192857142857
Maximilian Marterer,78.0,188.0,1995-06-15,2015,0,1,535,314,221,0.5869158878504673,8.290206185567008,2.6118556701030937,62.44226804123709,72.56134020618556,53.9992268041237,50.90695876288661,36.270103092783486,1.183144329896907
Cedrik Marcel Stebe,70.0,180.0,1990-10-09,2010,0,1,532,311,221,0.5845864661654135,4.413300492610837,4.010591133004922,61.5729064039409,67.11428571428571,50.08866995073892,51.22561576354678,42.084729064039394,1.142167487684728
Nicolas Kicker,75.0,178.0,1992-08-16,2009,1,0,536,317,219,0.5914179104477612,2.7734219269102973,3.1578073089700975,65.00830564784052,66.58504983388701,52.263787375415255,51.231893687707675,41.31029900332226,1.171661129568106
Ilya Ivashka,86.0,193.0,1994-02-24,2013,1,1,522,312,210,0.5977011494252874,8.060742705570291,3.948275862068965,62.492572944297066,72.5087533156499,50.6358090185676,51.89389920424397,39.7387267904509,1.2240053050397879
Juan Pablo Varillas,77.0,185.0,1995-10-06,2013,1,1,541,325,216,0.600739371534196,5.747122302158274,3.086330935251797,57.34100719424459,71.20143884892092,52.08057553956832,51.591726618705046,40.56690647482013,1.2404676258992813
Vaclav Safranek,82.0,183.0,1994-05-20,2012,1,1,516,284,232,0.5503875968992248,4.3765432098765435,3.132716049382717,62.561111111111074,64.97962962962958,48.36049382716051,47.609876543209886,35.58086419753088,0.9241975308641979
Jan Satral,83.0,185.0,1990-07-24,2010,1,1,516,304,212,0.5891472868217055,6.621195652173912,4.393478260869565,56.64293478260864,70.54565217391307,48.63043478260869,50.48043478260871,40.02228260869567,1.1047826086956534
Jason Kubler,74.0,178.0,1993-05-19,2011,1,1,531,348,183,0.655367231638418,6.309230769230766,6.071538461538459,61.26192307692309,70.76576923076921,51.10615384615382,51.355000000000004,39.63923076923074,1.187461538461539
Pedro Sakamoto,79.0,180.0,1993-06-29,2009,1,1,517,281,236,0.5435203094777563,3.5877659574468086,2.5436170212765967,62.3031914893617,65.69521276595744,49.69946808510636,49.49627659574469,39.37765957446808,1.061808510638298
Jarkko Nieminen,78.0,185.0,1981-07-23,2000,0,1,1001,576,425,0.5754245754245755,3.9309617918313595,2.61870882740448,65.84953886693019,68.05059288537544,51.24347826086954,50.631488801054005,38.93860342556002,1.1070223978919633
John Patrick Smith,84.0,188.0,1989-01-24,2012,0,1,511,268,243,0.5244618395303327,7.872463768115939,2.5458937198067653,65.83212560386471,70.84444444444442,51.67463768115941,50.550000000000054,37.164492753623165,1.1271014492753624
Lucas Miedler,78.0,183.0,1996-06-21,2014,1,0,519,305,214,0.5876685934489403,5.693774319066148,2.544747081712061,61.26303501945525,69.15175097276267,49.57626459143968,49.636575875486365,37.612840466926066,1.0624513618677043
Eduard Esteve Lobato,83.0,188.0,1994-09-18,,1,1,520,294,226,0.5653846153846154,4.12037037037037,2.6277777777777778,64.2074074074074,66.16296296296296,49.41481481481481,49.72037037037038,39.60185185185184,1.1175925925925925
Jaume Munar,76.0,183.0,1997-05-05,2014,1,1,522,311,211,0.5957854406130269,4.493882978723403,3.471542553191492,64.638829787234,69.50771276595745,49.777127659574454,51.493882978723384,40.65452127659577,1.2137500000000006
Rainer Schuettler,74.0,180.0,1976-04-25,1995,1,1,1013,542,471,0.5350444225074038,4.520815752461325,3.8954992967651187,59.15696202531648,69.22292545710268,52.20379746835436,50.74177215189876,39.3295358649789,1.1401125175808735
Radek Stepanek,76.0,185.0,1978-11-27,1996,1,1,970,574,396,0.5917525773195876,7.9502732240437135,3.8860655737704906,62.12322404371582,72.95614754098362,51.74972677595634,51.48060109289615,38.48101092896172,1.2109153005464481
Michael Chang,73.0,175.0,1972-02-22,1988,1,1,1010,685,325,0.6782178217821783,5.803891050583666,2.4892347600518807,55.66498054474712,72.60700389105055,53.77535667963686,53.080465717981895,42.496248382923646,1.267981888745148
Bruno Santanna,78.0,178.0,1993-07-12,,1,1,504,293,211,0.5813492063492064,5.964383561643838,5.9013698630137,59.797260273972626,65.92739726027396,44.913698630136984,47.50958904109589,37.27123287671234,0.9567123287671235
Joris De Loore,86.0,191.0,1993-04-21,2011,1,1,523,339,184,0.6481835564053537,10.222598870056496,3.7796610169491527,61.39322033898304,74.68192090395476,51.1169491525424,51.66158192090395,38.07627118644071,1.2267796610169495
Carlos Moya,88.0,191.0,1976-08-27,1995,1,1,1006,650,356,0.6461232604373758,6.449176470588243,3.101058823529409,58.74494117647058,72.34447058823537,52.18211764705887,51.392823529411714,39.20541176470591,1.1586705882352943
Nikolay Davydenko,72.0,178.0,1981-06-02,1999,1,1,998,599,399,0.6002004008016032,4.511959287531808,3.50903307888041,66.83524173027992,69.01653944020356,51.69274809160311,52.07926208651398,41.46068702290077,1.2254834605597968
Antoine Hoang,76.0,183.0,1995-11-04,2016,1,1,536,307,229,0.5727611940298507,4.8550781249999995,4.535156249999996,68.02890625000002,68.68867187499998,50.67109374999998,50.50312500000002,38.23789062500001,1.1124609375000007
Ante Pavic,96.0,196.0,1989-03-07,,1,1,500,250,250,0.5,13.067164179104472,5.32238805970149,59.73320895522392,75.19440298507465,49.010820895522414,49.8992537313433,35.23432835820895,1.1117164179104473
Pete Sampras,77.0,185.0,1971-08-12,1988,1,0,1000,767,233,0.767,13.59087452471482,4.368314321926488,59.08136882129274,81.38491761723697,53.88846641318124,54.241571609632416,38.965145754119106,1.4115462610899867
Carlos Taberner,78.0,183.0,1997-08-08,2015,1,1,511,304,207,0.5949119373776908,3.5947852760736185,4.294171779141101,60.8003067484662,68.33742331288343,50.878220858895695,51.46993865030676,41.51503067484661,1.1923312883435582
Michael Russell,70.0,173.0,1978-05-01,1998,1,1,970,561,409,0.5783505154639176,3.720634920634923,4.5337868480725625,64.42539682539685,67.09886621315192,49.58049886621314,49.910884353741466,39.051020408163254,1.0797732426303852
Lloyd Harris,80.0,193.0,1997-02-24,2015,1,1,485,317,168,0.6536082474226804,13.417275747508313,3.2807308970099665,63.125581395348796,74.8794019933554,50.19733333333332,51.00332225913618,36.519601328903676,1.1787375415282393
Kamil Majchrzak,78.0,180.0,1996-01-13,2013,1,1,514,319,195,0.6206225680933852,6.693871866295271,3.177158774373259,59.450696378830095,71.72562674094705,52.343732590529285,52.40779944289695,41.11894150417827,1.2551810584958223
Roberto Quiroz,88.0,193.0,1992-02-23,2014,0,1,507,261,246,0.514792899408284,6.179651162790698,3.4183139534883717,63.664244186046574,69.7427325581395,51.903779069767424,49.610174418604664,36.065406976744136,1.0636337209302325
Yevgeny Kafelnikov,84.0,191.0,1974-02-18,1992,1,1,991,661,330,0.6670030272452069,7.181556886227549,5.008383233532938,55.38131736526945,73.86886227544906,51.249341317365285,51.78193779904305,40.00562200956941,1.1748564593301432
Yuki Bhambri,75.0,185.0,1992-07-04,2008,1,1,498,325,173,0.6526104417670683,4.108609271523177,3.928476821192049,64.46953642384102,67.91556291390728,52.07251655629138,51.50529801324504,41.062790697674465,1.1865231788079469
Jesse Witten,82.0,178.0,1982-10-15,2005,1,1,490,263,227,0.536734693877551,7.077868852459016,5.6811475409836065,55.17622950819673,69.91147540983607,48.96147540983608,49.67377049180327,39.22868852459017,1.0943442622950819
Juan Ignacio Galarza,83.0,183.0,1994-03-18,,1,1,508,295,213,0.5807086614173228,4.509195402298852,4.589655172413795,62.22183908045974,68.30919540229884,47.81149425287359,49.980459770114955,39.656321839080476,1.0850574712643681
Marcos Giron,77.0,180.0,1993-07-24,2014,1,1,501,284,217,0.5668662674650699,6.523054755043226,3.2818443804034576,61.436599423631144,71.64265129683005,50.5902017291066,50.23487031700288,37.13400576368878,1.0978674351585014
Thomas Muster,77.0,180.0,1967-10-02,1985,0,0,986,674,312,0.6835699797160243,4.123139158576052,3.268608414239479,60.750647249190905,70.04854368932038,54.20809061488671,52.5014563106796,41.87191558441556,1.2220711974110032
Tommy Haas,84.0,188.0,1978-04-03,1996,1,0,975,607,368,0.6225641025641026,8.931749710312866,4.8417149478563175,58.62966396292005,74.86176129779838,52.54843568945531,51.67207415990734,37.863499420625715,1.204843568945538
Vincent Spadea,77.0,183.0,1974-07-19,1993,1,1,969,505,464,0.5211558307533539,4.599390243902448,3.4951219512195104,57.7407012195122,67.88582317073171,51.25655487804874,49.80518292682925,38.810213414634156,1.0632926829268294
Christopher Heyman,90.0,188.0,1993-10-08,,0,0,485,298,187,0.6144329896907217,5.769354838709677,3.775806451612904,66.42096774193548,66.19354838709677,49.99193548387096,47.751612903225805,34.07741935483871,0.9656451612903222
Joao Pedro Sorgi,82.0,188.0,1993-10-18,,1,1,485,253,232,0.5216494845360825,5.334532374100717,4.399280575539567,60.72877697841725,68.45827338129496,49.40503597122301,49.807194244604325,38.83309352517986,1.0865467625899283
Prajnesh Gunneswaran,80.0,188.0,1989-11-12,2010,0,1,494,290,204,0.5870445344129555,7.055629139072845,3.4341059602649,61.440728476821185,71.28907284768214,51.80165562913905,50.263696369636925,36.78547854785475,1.126270627062706
Yann Marti,75.0,170.0,1988-06-07,,1,1,486,273,213,0.5617283950617284,4.339999999999999,5.2620689655172415,57.0503448275862,69.02689655172418,47.639310344827585,49.82344827586206,40.12758620689655,1.1039999999999999
Evan King,79.0,185.0,1992-03-25,2013,0,1,489,254,235,0.5194274028629857,6.026180257510727,2.9905579399141615,64.34206008583692,67.91931330472106,50.70000000000002,48.49098712446354,35.346351931330474,1.0195708154506433
Omar Giacalone,80.0,180.0,1992-01-11,,1,1,483,261,222,0.5403726708074534,1.446341463414634,5.765853658536587,57.73414634146342,63.690243902439015,48.08048780487804,48.09999999999999,39.28048780487806,1.009512195121951
Michael Berrer,100.0,193.0,1980-07-01,1999,0,0,937,520,417,0.5549626467449307,7.8205567451820235,3.849464668094218,65.03233404710926,72.36381156316918,51.86616702355459,50.34775160599567,35.74154175588863,1.1728479657387565
Adam Pavlasek,76.0,185.0,1994-10-08,2012,1,1,482,282,200,0.5850622406639004,6.406249999999995,3.250367647058821,60.92573529411764,68.38970588235294,50.77279411764703,50.370588235294115,39.30294117647058,1.1198897058823531
Calvin Hemery,83.0,191.0,1995-01-28,2013,1,1,488,279,209,0.5717213114754098,8.857831325301197,6.195983935742969,60.812048192771094,71.66425702811243,48.66787148594374,49.97108433734937,37.31726907630523,1.081325301204819
Mario Vilella Martinez,74.0,178.0,1995-07-03,,1,1,473,284,189,0.6004228329809725,6.717050691244238,6.800460829493085,59.61428571428573,70.32949308755762,50.51428571428568,50.54654377880182,38.786635944700464,1.1649308755760373
Laurent Lokoli,78.0,188.0,1994-10-18,,1,1,498,301,197,0.6044176706827309,6.153383458646617,4.826315789473684,59.62406015037596,69.79548872180449,46.82105263157895,49.749624060150374,38.88721804511278,1.1042105263157895
Yan Bai,80.0,185.0,1989-05-21,,1,1,480,294,186,0.6125,5.000719424460432,3.7359712230215822,57.99064748201442,65.63812949640285,47.312949640287755,48.438129496402865,39.02805755395684,0.9968345323741007
Nicolas Lapentti,86.0,188.0,1976-08-13,1995,1,1,958,553,405,0.5772442588726514,6.107486631016041,3.4124777183600696,60.13778966131912,70.54438502673804,48.71910714285714,49.935294117647025,38.13172905525843,1.06951871657754
Gilles Muller,89.0,193.0,1983-05-09,2001,0,1,951,552,399,0.580441640378549,16.804436860068257,4.339419795221842,61.74846416382245,79.08054607508528,51.988547008547066,50.63651877133104,32.38549488054607,1.1651365187713307
Tim Henman,77.0,185.0,1974-09-06,1993,1,0,959,621,338,0.6475495307612096,7.660111576011164,4.333054393305436,57.40167364016738,75.01841004184107,51.83054393305442,52.15202231520221,39.52817294281724,1.224504881450487
Jurgen Melzer,80.0,183.0,1981-05-22,1999,0,1,944,514,430,0.5444915254237288,6.661958041958044,3.5693706293706278,61.62251748251746,69.75146853146855,51.14811188811188,49.87566433566424,37.17972027972031,1.0681258741258748
Julien Benneteau,79.0,185.0,1981-12-20,2000,1,1,938,495,443,0.5277185501066098,8.006697108066973,4.175799086757993,64.02602739726021,70.3674277016741,49.8455098934551,50.018721461187205,37.288736681887336,1.115525114155251
Goran Ivanisevic,82.0,193.0,1971-09-13,1988,0,1,951,613,338,0.6445846477392219,17.439261285909694,6.005745554035565,54.48139534883722,82.08577291381674,51.17811217510255,51.581668946648435,35.28878248974006,1.2375239398084796
Gonzalo Villanueva,70.0,175.0,1995-01-13,,1,1,494,265,229,0.5364372469635628,2.3999999999999995,3.3525547445255466,62.07080291970805,62.70729927007295,49.481751824817536,49.097810218978076,40.660583941605836,1.0181751824817513
Albano Olivetti,104.0,203.0,1991-11-24,2010,1,0,481,272,209,0.5654885654885655,20.990361445783133,8.299397590361444,54.40602409638555,82.98132530120482,51.67831325301204,49.87530120481929,30.38373493975902,1.0901807228915665
Luis David Martinez,77.0,178.0,1989-05-12,,1,1,475,224,251,0.47157894736842104,5.556000000000001,6.2986666666666675,57.01466666666667,65.96399999999998,45.54133333333332,47.050666666666665,36.63866666666667,0.9341333333333334
Kyle Edmund,83.0,188.0,1995-01-08,2012,1,1,476,287,189,0.6029411764705882,7.477235772357728,3.2742547425474218,59.71463414634147,73.39349593495933,53.54146341463414,51.63224932249322,37.94634146341462,1.2016260162601633
Sebastian Ofner,81.0,191.0,1996-05-12,2015,1,1,479,266,213,0.5553235908141962,9.260596026490074,4.798344370860925,56.71192052980131,72.66953642384107,50.51622516556291,49.81589403973511,36.378807947019865,1.0770529801324504
Lorenzo Sonego,76.0,191.0,1995-05-11,2013,1,1,486,275,211,0.565843621399177,7.473521850899751,2.8079691516709504,64.01413881748071,72.6110539845758,51.62930591259637,51.20205655526993,37.34601542416452,1.1554498714652965
Stefano Napolitano,90.0,196.0,1995-04-11,2012,1,1,480,244,236,0.5083333333333333,6.558862876254185,3.0501672240802686,58.97826086956523,69.46287625418059,49.94816053511705,49.46153846153845,37.68528428093643,1.05571906354515
Ivan Sergeyev,78.0,175.0,1988-01-20,,1,1,467,267,200,0.5717344753747323,6.22153846153846,4.288461538461536,55.56000000000001,68.54769230769233,46.346923076923076,48.60846153846154,38.68076923076922,1.0963846153846155
Rogerio Dutra Silva,73.0,178.0,1984-02-05,2003,1,0,936,543,393,0.5801282051282052,4.110455311973018,3.5693086003372647,61.68870151770657,69.37554806070827,52.84586846542998,51.903878583473855,41.2460370994941,1.233962900505903
Kevin Kim,75.0,180.0,1978-07-26,1997,1,0,900,451,449,0.5011111111111111,6.274509803921565,4.908235294117649,57.4180392156863,69.25921568627454,46.347058823529416,47.92549019607839,36.34901960784314,1.020980392156863
Alberto Martin,73.0,175.0,1978-08-20,1995,1,0,927,488,439,0.5264293419633226,2.7175196850393695,4.632677165354329,60.841141732283454,65.35767716535427,49.05334645669292,48.93011811023617,39.02519685039364,1.0304527559055123
Altug Celikbilek,73.0,183.0,1996-09-07,2015,1,1,489,279,210,0.5705521472392638,8.333816425120775,5.38164251207729,56.78260869565217,71.18502415458936,48.3086956521739,49.94251207729468,38.08743961352658,1.0643478260869565
Tommy Paul,82.0,185.0,1997-05-17,2015,1,1,480,299,181,0.6229166666666667,6.270604395604394,3.3489010989010977,59.5912087912088,71.232967032967,52.92637362637368,51.27609890109886,38.90137362637359,1.138324175824176
Horacio Zeballos,84.0,188.0,1985-04-27,2003,0,0,930,532,398,0.5720430107526882,7.534452296819799,3.3171378091872774,61.866607773851705,72.51024734982332,52.68356890459366,50.49134275618373,35.86042402826854,1.1242579505300343
Benjamin Lock,86.0,198.0,1993-03-04,,1,1,479,277,202,0.5782881002087683,7.123958333333334,2.9791666666666665,65.39166666666668,67.54583333333335,47.196875000000006,47.95416666666668,35.63333333333334,0.9927083333333333
Borna Coric,85.0,188.0,1996-11-14,2013,1,1,479,283,196,0.5908141962421712,7.877948717948719,2.8810256410256403,61.820512820512775,72.8251282051282,53.68333333333331,50.77289002557547,36.428644501278775,1.1567263427109977
Olivier Rochus,65.0,168.0,1981-01-18,1999,1,0,916,501,415,0.5469432314410481,2.3046075085324222,3.2776450511945345,60.64897610921502,66.96006825938566,52.33105802047779,49.66945392491469,38.04300341296925,1.0575085324232076
Paul Henri Mathieu,74.0,185.0,1982-01-12,1999,1,1,921,497,424,0.5396308360477742,6.566847826086962,4.16331521739131,54.74986413043479,72.32038043478268,51.984510869565256,50.530298913043495,37.61127717391302,1.100747282608696
Frances Tiafoe,86.0,188.0,1998-01-20,2015,1,1,486,279,207,0.5740740740740741,8.112993039443156,3.0686774941995343,61.45266821345706,72.13225058004639,52.08677494199535,50.51044083526682,36.720185614849235,1.0907424593967512
Potito Starace,84.0,188.0,1981-07-14,2001,1,1,908,513,395,0.5649779735682819,3.3213709677419376,1.7909274193548383,73.11633064516128,66.84052419354846,52.923387096774164,50.2264112903226,37.32479838709677,1.1227419354838706
Alexander Bublik,82.0,196.0,1997-06-17,2016,1,1,482,274,208,0.5684647302904564,14.571614583333345,8.33255208333333,58.51380208333331,75.70208333333338,45.69791666666666,50.06197916666667,36.675000000000004,1.0791927083333335
